job,company,location,salary,exp
Brand Designer,Hatch Interactive,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Sales Specialist,SG Batavia,"Kuningan, Jakarta",IDR4.500.000 - 8.000.000,Kurang dari setahun
FINANCE AND ADMIN,7summits,Bandung,IDR2.500.000 - 3.500.000,
Associate Account Manager,Raena,Jakarta,IDR7.000.000 - 8.000.000,1 – 3 tahun
Guest Reservation Officer (GRO),PT Daginng Grup Indonesia,Tangerang,IDR3.500.000 - 4.500.000,1 – 3 tahun
Multimedia Design,PT Cakrawala Bumi Estetika,"Menteng, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
Social Media Coordinator,Lastday Production,Tangerang,IDR4.500.000 - 5.000.000,1 – 3 tahun
Admin Customer Service,Herbiglow,Cikarang,IDR3.000.000,1 – 3 tahun
Internship,Pt Ega Paintindo,"Kelapa Gading, Jakarta",Company prefers not to disclose,Kurang dari setahun
Admin/Sekretaris,PT Sanqua Multi Internasional,Jakarta,IDR100 - 200,1 – 3 tahun
Admin Sales,Pt Sumber Data Indonesia,"Cilandak, Jakarta",IDR4.000.000 - 6.000.000,1 – 3 tahun
Flash Sale (Internship),Akulaku Indonesia,"Tanah Abang, Jakarta",Company prefers not to disclose,Kurang dari setahun
Purchasing Staff,Laboratorium Amerind Bio-clinic,"Kebon Jeruk, Jakarta",IDR5.000.000 - 7.000.000,3 – 5 tahun
Barista and Coffee Trainer Assistant,CV Halo Kopi Nusantara,"Tambora, Jakarta",IDR2.500.000 - 4.000.000,1 – 3 tahun
Project Officer,Famous Allstars,"Senayan, Jakarta",IDR100 - 200,1 – 3 tahun
INTERN Front End / Mobile Apps Developer,Mitra Aplikasi Digital,Jakarta,IDR1.900.000 - 2.000.000,Kurang dari setahun
Marketing Staff,PT. Aplikasi Evolusi Indonesia,Jakarta,IDR3.500.000 - 6.000.000,1 – 3 tahun
STAFF PURCHASING,PT. KODE NIAGA TAMA,Surabaya,IDR3.500.000 - 5.500.000,1 – 3 tahun
Staff Human Resource Development,PT Gapai Cita Rahardjo,Yogyakarta,IDR2.200.000 - 3.200.000,1 – 3 tahun
HRD Supervisor,PT Cahaya Samudra Mulia,"Penjaringan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
HR Manager,PT Global Multindo Cipta,Surabaya,IDR4.000.000 - 10.000.000,3 – 5 tahun
Graphic Designer,PT Redpod Indonesia,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
International Business Associate,Glints Indonesia,Jakarta,Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
