job,company,location,salary,exp
Salesman Retail oli dan cat,PT. Intisumber Bajasakti,"Penjaringan, Jakarta",IDR6.000.000 - 15.000.000,1 – 3 tahun
Claim Operation,Avrist General Insurance,"Blok M, Jakarta",IDR100 - 200,1 – 3 tahun
Customer Service Support,SIMGROUP,Banjarmasin,IDR4.500.000,1 – 3 tahun
Customer Service Support,SIMGROUP,Banjarmasin,IDR4.500.000,1 – 3 tahun
MANAGER SALES PROJECT ALL AREA,Success Jaya Group,Madiun,Company prefers not to disclose,1 – 3 tahun
Personal Assistant (Chinese Speaking),eKan,Jakarta,IDR10.000.000 - 15.000.000,1 – 3 tahun
CATI - Interviewer/Surveyor by Phone Freelance,Field Force Indonesia (Ipsos Group),"Kuningan, Jakarta",IDR500.000 - 1.500.000,
IT QA Automation - Insurance,PT. Asian Sigma Technology,"Mampang Prapatan, Jakarta",IDR8.000.000 - 10.000.000,3 – 5 tahun
ASM MANDARIN,Pt Innovation Hongtai Technology,Tangerang,IDR8.000.000 - 15.000.000,1 – 3 tahun
Graphic Designer,Super Creator Tech Pte.ltd.,Denpasar,IDR2.000.000 - 4.000.000,3 – 5 tahun
Koordinator Ecommerce,PT. Bumi Aksara,Cibitung,IDR5.500.000 - 6.500.000,1 – 3 tahun
Wali Kelas dan Tutor Geografi SKS Bekasi,Homeschooling Kak Seto,Bekasi,Company prefers not to disclose,1 – 3 tahun
Mobile Developer - Flutter,PT Mplus Solusi Perdana,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Java Developer,UangMe (PT UangMe Fintek Indonesia),"Kuningan, Jakarta",IDR8.000.000 - 12.000.000,1 – 3 tahun
Chief Operating Officer,Pt. Inovasi Solusi Transportasi Indonesia,Yogyakarta,Company prefers not to disclose,3 – 5 tahun
Assistant Producer,Socialights,"Mampang Prapatan, Jakarta",IDR5.000.000 - 6.000.000,Kurang dari setahun
Staff Administrasi dan Perizinan,Asia Commerce Network Limited,Surabaya,IDR2.000.000 - 3.000.000,Kurang dari setahun
Web Developer,Asia Commerce Network Limited,Surabaya,IDR2.000.000 - 3.000.000,Kurang dari setahun
Creative Designer,Asia Commerce Network Limited,Surabaya,IDR2.000.000 - 3.000.000,Kurang dari setahun
Senior Software Engineer,"Sunday Ins Co., Ltd.",Jakarta,IDR17.000.000 - 30.000.000,5 – 10 tahun
Implementation Specialist (Makassar / Maluku),Zero One Group,Makassar,IDR9.000.000 - 13.000.000,1 – 3 tahun
Instructional Designer,ProSpark,"Kuningan, Jakarta",IDR5.000.000 - 7.000.000,1 – 3 tahun
Senior Product Engineer (Mobile - Flutter),Zero One Group,Jakarta,IDR12.000.000 - 18.000.000,3 – 5 tahun
Senior Product Engineer (Backend - Node js),Zero One Group,Jakarta,IDR12.000.000 - 18.000.000,3 – 5 tahun
Senior Product Engineer (Web - React),Zero One Group,Jakarta,IDR12.000.000 - 18.000.000,3 – 5 tahun
Product Engineer (Backend - Node js),Zero One Group,Jakarta,IDR7.000.000 - 15.000.000,1 – 3 tahun
Product Engineer (Web - React),Zero One Group,Jakarta,IDR7.000.000 - 15.000.000,1 – 3 tahun
LEGAL STAFF,PT SHAN HAI MAP,"Grogol Petamburan, Jakarta",IDR6.000.000 - 9.000.000,Kurang dari setahun
Internship as Data Entry for Corporate Communication Needed,Skyhigh.vip,Jakarta,IDR3.900.000 - 4.500.000,Kurang dari setahun
ADMIN ACCOUNTING,Kokikan,"Kebayoran Lama, Jakarta",IDR5.000.000 - 6.000.000,Kurang dari setahun
Java Developer - IT Consulting,PT. Asian Sigma Technology,Jakarta,IDR8.000.000 - 11.000.000,1 – 3 tahun
Finance Staff,PT Jawara Kreasitama,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
HR Admin,PT Jawara Kreasitama,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Full Stack Developer - Java Springboot and Angular,Avows Technologies,Jakarta,IDR12.000.000 - 15.000.000,3 – 5 tahun
Tax Accounting Supervisor,Adminkita.com,"Kembangan, Jakarta",IDR7.000.000 - 12.000.000,1 – 3 tahun
Tax Accounting Manager,Adminkita.com,"Kembangan, Jakarta",IDR7.000.000 - 12.000.000,1 – 3 tahun
Graphic Designer,Vector Interactive,Jakarta,IDR4.500.000 - 5.000.000,Kurang dari setahun
Back-End Developer,Vector Interactive,Jakarta,IDR4.500.000 - 5.000.000,Kurang dari setahun
Front-End Developer,Vector Interactive,Jakarta,IDR4.500.000 - 5.000.000,Kurang dari setahun
Business Development Executive (Expansion),Glints Indonesia,Surabaya,IDR5.000.000 - 7.500.000,1 – 3 tahun
Head of Financial Planning and Corporate Strategy,Youtap Indonesia,Jakarta,IDR20.000.000 - 35.000.000,5 – 10 tahun
Mobile Developer (Android),Avana Indonesia,Bandung,IDR10.000.000 - 15.000.000,3 – 5 tahun
Sekretaris Corporate,Pt Sumber Data Indonesia,"Cilandak, Jakarta",Login to view estimated salary by Glints.,Login to view estimated salary by Glints.
Senior Regulatory,PT. Sukses Sejati Internasional,Tangerang,IDR7.000.000 - 10.000.000,1 – 3 tahun
Technical Support Staff (ERP System),"PT. AKASHA WIRA INTERNATIONAL,Tbk.","Cempaka Putih, Jakarta",IDR4.600.000 - 6.000.000,Kurang dari setahun
English Tutor for Senior High School,PT Edukita Jaya Global,"Kuningan, Jakarta",IDR300.000 - 550.000,Kurang dari setahun
Purchasing Management Trainee,Pt. Cemerlang Multimedia,Bandung,IDR4.000.000 - 5.000.000,Kurang dari setahun
QC/QA Management Trainee,Pt. Cemerlang Multimedia,Bandung,IDR4.000.000 - 5.000.000,Kurang dari setahun
Technical Support Engineer,Tech Titan Group,Jakarta,IDR10.000.000 - 20.000.000,1 – 3 tahun
Technical Support Engineer,Tech Titan Group,Jakarta,IDR10.000.000 - 20.000.000,1 – 3 tahun
Account Executive,Pt Hui Huang Media,"Penjaringan, Jakarta",IDR4.500.000 - 5.000.000,1 – 3 tahun
Back End  Developer,PT. Asian Sigma Technology,Jakarta,IDR12.000.000 - 15.000.000,1 – 3 tahun
Web Programmer,Pt. Venturo Pro Indonesia,Malang,Company prefers not to disclose,Kurang dari setahun
Direct Sales Supervisor (Bogor),PT Eka Mas Republik,Bogor,Company prefers not to disclose,1 – 3 tahun
SPV MARKETING COMMUNICATION,Pt. Integra Mitra Solusi,"Penjaringan, Jakarta",IDR4.000.000 - 6.500.000,1 – 3 tahun
Marketing and Sales Hidroponik,PT. Tripacific Electrindo,Kembangan,IDR4.500.000 - 5.000.000,Kurang dari setahun
Senior Accounting,Travelio,"Gambir, Jakarta",IDR8.000.000 - 9.000.000,1 – 3 tahun
Helper Teknisi Listrik,Zeppelin Indonesia,Jakarta,IDR2.500.000 - 3.000.000,Kurang dari setahun
System Analyst / Tech Lead,PT. Asian Sigma Technology,"Kuningan, Jakarta",IDR10.000.000 - 15.000.000,3 – 5 tahun
Social Media Strategist,PT Sribu Digital Kreatif,Jakarta,IDR9.000.000 - 12.000.000,3 – 5 tahun
Marketing Executive,PT. Kusuma Megah Grup,Malang,IDR1.000.000 - 3.000.000,1 – 3 tahun
Digital Marketing Lead,Gakgendutlagi,Surabaya,IDR10.000.000 - 20.000.000,1 – 3 tahun
Community Partnership,PT Digital Wings Indonesia,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Community Partnership,PT Digital Wings Indonesia,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
IT Database Addministrator,PT Infomedia Nusantara,Jakarta,IDR4.500.000 - 5.500.000,Kurang dari setahun
Lead Frontend Engineer (Jakarta/Tangerang),PT. Reeracoen Indonesia,Jakarta,IDR10.000.000 - 20.000.000,1 – 3 tahun
VB NET Developer,Sysdata.id,Jakarta,IDR10.000.000 - 18.000.000,3 – 5 tahun
IT System Analyst - Payment Solution,PT. Asian Sigma Technology,Yogyakarta,Company prefers not to disclose,3 – 5 tahun
Technical Auditor (Cikarang),Travelio,Cikarang,IDR4.000.000 - 4.500.000,Kurang dari setahun
Technical Auditor (Bogor),Travelio,Bogor,IDR4.000.000 - 4.500.000,Kurang dari setahun
Personal Assistant,Travelio,Bogor,IDR4.000.000 - 4.500.000,Kurang dari setahun
Content Creator,Travelio,Bogor,IDR4.000.000 - 4.500.000,Kurang dari setahun
Photographer,Travelio,Bogor,IDR4.000.000 - 4.500.000,Kurang dari setahun
Senior AWS Data Engineer,PT. Asian Sigma Technology,"Setiabudi, Jakarta",IDR10.000.000 - 17.000.000,5 – 10 tahun
Japanese Speaker - Accounting staff,Pt Sunto Japan Indonesia,"Penjaringan, Jakarta",IDR3.500.000 - 4.000.000,Kurang dari setahun
Graphic Designer,Massarin.id,Surabaya,IDR2.500.000 - 2.800.000,Kurang dari setahun
Sales,PT Mentari Mulia Berjangka,"SCBD, Jakarta",IDR4.500.000 - 10.000.000,Kurang dari setahun
IT Staff,KREDINESIA (PT Kreditku Teknologi Indonesia),Jakarta,IDR5.550.000 - 7.000.000,Kurang dari setahun
IT Programmer,PT. Intisumber Bajasakti,"Penjaringan, Jakarta",IDR7.000.000 - 10.000.000,1 – 3 tahun
Admin Project,Aria,Jakarta,IDR4.700.000 - 5.500.000,Kurang dari setahun
Full Stack Developer,PT Sribu Digital Kreatif,Jakarta,IDR8.000.000 - 12.000.000,1 – 3 tahun
Staff Accounting,PT Buwana Mitra Semesta,"Pademangan, Jakarta",Company prefers not to disclose,1 – 3 tahun
MARKETING ADVISOR PURWOKERTO,PT Fajar Lestari Sejati,Purwokerto,IDR2.500.000 - 3.000.000,Kurang dari setahun
Staff MARKETING ADVISOR SEMARANG,PT Fajar Lestari Sejati,Semarang,IDR2.500.000 - 3.000.000,Kurang dari setahun
UI/UX Developer,Indo Trans Teknologi,Bandung,IDR5.000.000 - 15.000.000,1 – 3 tahun
Back-end Developer,Indo Trans Teknologi,Bandung,IDR5.000.000 - 15.000.000,1 – 3 tahun
Front-end Developer,Indo Trans Teknologi,Bandung,IDR5.000.000 - 15.000.000,1 – 3 tahun
Full Stack Developer,Indo Trans Teknologi,Bandung,IDR5.000.000 - 15.000.000,1 – 3 tahun
Quality Assurance,Indo Trans Teknologi,Bandung,IDR5.000.000 - 15.000.000,1 – 3 tahun
Junior Accounting,Travelio,"Gambir, Jakarta",IDR5.000.000 - 5.500.000,Kurang dari setahun
Property - Real Estate  ( Assistant ),Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,1 – 3 tahun
Property - Real Estate  ( Assistant ),Pt Studio Artalenta Indonesia,Badung,IDR4.000.000 - 6.000.000,1 – 3 tahun
Google Ads Specialist,PT Bersama Zatta Jaya (elcorps),Bandung,IDR4.000.000 - 7.000.000,1 – 3 tahun
Web Developer (Full Stack),Fabil Natural (cv Alfajr Insan Mulia),Bogor,IDR5.000.000 - 6.000.000,1 – 3 tahun
Android Developer,Abishar Technologies,"Kuningan, Jakarta",IDR10.000.000 - 15.000.000,3 – 5 tahun
Product Management Intern (Remote),42Race,Jakarta,IDR2.000.000 - 3.000.000,Kurang dari setahun
Purchasing,Fabil Natural (cv Alfajr Insan Mulia),Bogor,IDR2.000.000 - 3.000.000,3 – 5 tahun
Marketing Analytics,Whiz,Jakarta,IDR100 - 200,1 – 3 tahun
Technical Sales,Whiz,Jakarta,IDR100 - 200,1 – 3 tahun
Sales Engineer,PT KEYENCE INDONESIA,"Cilandak, Jakarta",IDR8.500.000 - 10.000.000,Kurang dari setahun
Back-end Developer,PT. Sumber Makmur Surya Perkasa,Surabaya,IDR100 - 200,Kurang dari setahun
Frontend Developer,PT Binc Teknologi Grup,"Kebayoran Baru, Jakarta",IDR6.000.000 - 9.000.000,1 – 3 tahun
React Web Frontend Developer,eKan,Jakarta,IDR6.000.000 - 18.000.000,1 – 3 tahun
Nodejs Backend Developer,eKan,Jakarta,IDR6.000.000 - 18.000.000,1 – 3 tahun
Golang / Node js Programmer,PT Safepedia Global Teknologi,"Kebayoran Lama, Jakarta",IDR8.000.000 - 15.000.000,1 – 3 tahun
Telemarketing,Formi,Sleman,IDR2.000.000 - 3.000.000,Kurang dari setahun
Android Developer (Flutter),PT Safepedia Global Teknologi,"Kebayoran Lama, Jakarta",IDR7.000.000 - 9.000.000,1 – 3 tahun
Purchasing Staff,PT. Intisumber Bajasakti,"Penjaringan, Jakarta",IDR6.000.000 - 10.000.000,1 – 3 tahun
UNSUR PIMPINAN DAN DOSEN TETAP,Universitas Islam Sumatera Barat,Solok,IDR2.500.000 - 7.000.000,1 – 3 tahun
DevOps Engineer,Pintar Ventura Pertama,Jakarta,IDR10.000.000 - 15.000.000,1 – 3 tahun
Frontliner Perbankan,PT. Mutualplus Global Resources (Jakarta Representative),Jakarta,IDR4.500.000 - 4.700.000,Kurang dari setahun
Sales Admin/ Coordinator,Balidotcom,Denpasar,IDR4.500.000 - 5.000.000,Kurang dari setahun
Administration Staff,Sillyco,Bandung,IDR3.800.000 - 4.250.000,Kurang dari setahun
Coach Data tech Officer,Shift Academy,Jakarta,IDR4.000.000 - 10.000.000,1 – 3 tahun
Sales B2B Specialist,Shift Academy,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Administrasi Klinik,Klinik Utama Analgesia,Badung,IDR2.000.000 - 3.000.000,Kurang dari setahun
CONTENT CREATOR TIKTOK,PT IBU SAYANG ANAK SUKSES,Surabaya,IDR4.000 - 41.500,1 – 3 tahun
DevSecOps Engineer,PT IBU SAYANG ANAK SUKSES,Surabaya,IDR4.000 - 41.500,1 – 3 tahun
Manager Digital Marketing,PT Prima Inovasindo Sukses,"Cengkareng, Jakarta",IDR12.000.000 - 20.000.000,3 – 5 tahun
Accounting Manager,Zeppelin Indonesia,Jakarta,IDR9.000.000 - 12.600.000,3 – 5 tahun
Head of HR Recruitment,Zeppelin Indonesia,Jakarta,IDR9.000.000 - 12.600.000,3 – 5 tahun
Sales Acquisitions,PT Sekaya Indonesia,Jakarta,IDR4.000.000 - 6.000.000,Kurang dari setahun
Sales Development Representative,Glints Indonesia,Jakarta,IDR4.500.000 - 6.000.000,1 – 3 tahun
IT System Operation Engineer,Htc Global Services,Jakarta,IDR4.600.000 - 5.000.000,Kurang dari setahun
Crypto Analyst,Cloudsolutely,Jakarta,IDR2.000.000 - 25.000.000,1 – 3 tahun
WordPress Developer,CV Indosoft,Malang,IDR4.500.000 - 6.000.000,1 – 3 tahun
3D Designer,Pt Artisan Studio Indonesia,Solo,Company prefers not to disclose,Kurang dari setahun
Administrasi,Magang Jogja,Yogyakarta,Company prefers not to disclose,Kurang dari setahun
Customer Service Online (Deal Maker) - Rnd,Pt. Aksamala Adi Andana,Yogyakarta,IDR1.600.000 - 2.000.000,Kurang dari setahun
Angular Developer - IT Consulting,PT. Asian Sigma Technology,"Tanah Abang, Jakarta",IDR9.000.000 - 12.000.000,3 – 5 tahun
DevOps,PT. Asian Sigma Technology,"Tanah Abang, Jakarta",IDR9.000.000 - 12.000.000,3 – 5 tahun
Design Grafis (Motion Graphic),Tazbiya Brands,"Setiabudi, Jakarta",IDR4.000.000 - 4.500.000,Kurang dari setahun
Scarf Pattern Designer,Dafanya Scarf,"Tanah Abang, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
Design Grafis Marketing,Tazbiya Brands,"Setiabudi, Jakarta",IDR4.000.000 - 4.500.000,Kurang dari setahun
HR Compensation and Benefit,PT. Ebdesk Teknologi,South Tangerang,Company prefers not to disclose,3 – 5 tahun
Staff Akunting,PT RAJAWALI PARAMA KONSTRUKSI,Serpong,IDR1.500.000 - 3.000.000,Kurang dari setahun
Sistem Analis Project IT,PT Javan Cipta Solusi,Yogyakarta,IDR100 - 200,1 – 3 tahun
Senior Sales Associates,Pt. Kaliber Koma Pasifik,Jakarta,IDR10.000.000 - 15.000.000,3 – 5 tahun
Data Engineer Staff,PT NTT Data Indonesia,Jakarta,IDR7.000.000 - 9.000.000,1 – 3 tahun
Video Editor,PT Sistem Manajemen Dewarangga,Bekasi,IDR3.000.000 - 4.500.000,Kurang dari setahun
Digital Marketing,PT Mitra Kerja Utama,"Kebayoran Baru, Jakarta",IDR5.000.000 - 5.500.000,Kurang dari setahun
Personal Assistant CEO,Lilybelleclothing,"Tambora, Jakarta",IDR4.000.000 - 5.500.000,Kurang dari setahun
General Manager,The Republic Of Svarga,Surabaya,IDR10.000.000 - 15.000.000,1 – 3 tahun
expedition staff,PT. Intisumber Bajasakti,"Penjaringan, Jakarta",IDR6.000.000 - 9.000.000,1 – 3 tahun
Sales Admin staff,PT. Intisumber Bajasakti,"Penjaringan, Jakarta",IDR6.000.000 - 9.000.000,1 – 3 tahun
Sales Engineer,CV Daya Prima Sinergi,Surabaya,IDR6.000.000 - 10.000.000,1 – 3 tahun
International Education Sales Consultant,High and Low Headhunters,Badung,IDR5.000.000 - 10.000.000,1 – 3 tahun
Field Application Scientist,PT. Pandu Biosains,"Kramat Jati, Jakarta",IDR4.500.000 - 5.000.000,Kurang dari setahun
Sales and Business Development Team Down to Earth,Istana Accessories,"Penjaringan, Jakarta",IDR2.800.000 - 3.500.000,3 – 5 tahun
Recruitment Officer,Pt. Kristalindo Karunia International,Jakarta,IDR3.500.000 - 5.000.000,Kurang dari setahun
Project Sales,PT Daikin Airconditioning Indonesia,Batam,IDR10.000.000 - 10.000.100,Kurang dari setahun
Admin Sales dan Digital Marketing,PT. Aplikasi Evolusi Indonesia,Surabaya,IDR4.000.000 - 6.000.000,1 – 3 tahun
SAS Adminitsrator 9x3 or 9x4,PT. Mitra Solutech Utama,Jakarta,MYR5.000 - 8.000,3 – 5 tahun
QA Tester,PT. Mitra Solutech Utama,Jakarta,MYR5.000 - 8.000,3 – 5 tahun
Java Backend Developer,PT. Mitra Solutech Utama,Jakarta,MYR5.000 - 8.000,3 – 5 tahun
Service Administration,PT Daikin Airconditioning Indonesia,Jakarta,IDR8.500.000 - 85.000.100,1 – 3 tahun
Marketing Manager,PT. Mega Pratama Medicalindo,Tangerang,IDR12.000.000 - 20.000.000,1 – 3 tahun
Digital Project Consultant,PT Sribu Digital Kreatif,Jakarta,IDR5.000.000 - 8.000.000,1 – 3 tahun
General Manager,The Republic Of Svarga,Tangerang,IDR12.000.000 - 15.000.000,1 – 3 tahun
ACCOUNT EXECUTIVE,PT. MESIN KASIR ONLINE,"Sawah Besar, Jakarta",IDR4.000.000 - 5.000.000,1 – 3 tahun
BRAND MANAGER,PT. MGANIC NATURINDO CEMERLANG,Tangerang,IDR6.500.000 - 9.000.000,1 – 3 tahun
IT Software Manager,PT. MGANIC NATURINDO CEMERLANG,Tangerang,IDR6.500.000 - 9.000.000,1 – 3 tahun
Account Executive - Educational Partnership Officer,Pt Yipu Teknologi Alami,Yogyakarta,IDR2.000.000 - 5.000.000,Kurang dari setahun
Platform Campaign,Borong Indonesia,"Senayan, Jakarta",IDR9.000.000 - 12.000.000,1 – 3 tahun
TEACHER,LIVESMART INDONESIA,Tangerang,IDR5.000.000 - 7.500.000,Kurang dari setahun
Sales & Marketing Manager (Property),Pt Multi Hanna Transportindo,Bekasi,IDR7.000.000 - 10.000.000,5 – 10 tahun
Hiring Admin Marketing,MM Corps,Lamongan,Company prefers not to disclose,1 – 3 tahun
Sales and Marketing,PT Berserah Bersyukur Berusaha,Surabaya,IDR3.000.000 - 10.000.000,Kurang dari setahun
Kol Specialist,PT. Onix Kreatif Indonesia,Jakarta,IDR3.500.000 - 4.000.000,1 – 3 tahun
Electrical Plan Reviewer ( FULL ENGLISH SPEAKING ),"Infinity Energy, Inc",Jakarta,IDR8.000.000 - 11.000.000,3 – 5 tahun
KOL Specialist,Koneksi Group,Depok,IDR5.000.000 - 7.000.000,Kurang dari setahun
VIDEO/AUDIO FEMALE PRESENTER (INTERNSHIP),PT. Electronic Science Indonesia,"Kemayoran, Jakarta",IDR800.000 - 1.000.000,Kurang dari setahun
Admin,Konnichiwa Group (pt Lima Pilar Sentosa),"Cengkareng, Jakarta",IDR3.000.000 - 3.800.000,Kurang dari setahun
Graphic Designer,The KPI Institute,Jakarta,USD500 - 700,1 – 3 tahun
Proofreader (Indonesian language),Refocus,Jakarta,IDR10.000.000 - 110.000.000,1 – 3 tahun
Sales Promotion-URGENT,Ziel Kids,Jakarta,IDR2.750.000 - 3.500.000,Kurang dari setahun
Tour-Event Operation Officer,Pt Tourezia Cakra Inspira,Yogyakarta,Company prefers not to disclose,1 – 3 tahun
Account Executive,Fasapay Indonesia,Yogyakarta,IDR1.500.000 - 2.000.000,Kurang dari setahun
Software Quality Assurance (Internship),Arvis,Jakarta,IDR1.500.000 - 2.000.000,Kurang dari setahun
Content Creator,Lilybelleclothing,"Taman Sari, Jakarta",IDR4.000.000 - 5.000.000,Kurang dari setahun
Operational Manager,Open Labs,Surabaya,IDR7.000.000 - 10.000.000,1 – 3 tahun
Technical Account Manager,Qiscus Pte Ltd,Jakarta,IDR5.000.000 - 10.000.000,1 – 3 tahun
Business Development Manager,PT Aksata Pratama Teknologi,"Setiabudi, Jakarta",IDR15.000.000 - 30.000.000,3 – 5 tahun
Cloud Engineer,Sysdata.id,Jakarta,IDR5.000.000 - 5.500.000,Kurang dari setahun
Head of Data,Dishserve,Jakarta,IDR30.000.000 - 40.000.000,5 – 10 tahun
Tekhnisi Alat Kesehatan,PT. Pratamindo Mitra Rizky,Surabaya,Company prefers not to disclose,1 – 3 tahun
Technical Writer,Pt Satkomindo Mediyasa,Jakarta,IDR5.750.000 - 10.250.000,1 – 3 tahun
Receptionist,Pt Satkomindo Mediyasa,Jakarta,IDR5.750.000 - 10.250.000,1 – 3 tahun
Sales Data Analyst Staff,PT. Casa Verde Indonesia (OT Group),"Cengkareng, Jakarta",IDR6.000.000 - 6.500.000,Kurang dari setahun
Junior Architect 2,Pt. Rancang Resto Indonesia,Bandung,IDR3.000.000 - 5.000.000,1 – 3 tahun
Mandarin Teacher,Pt. Rancang Resto Indonesia,Bandung,IDR3.000.000 - 5.000.000,1 – 3 tahun
SAP FI Consultant,PT. Monsoon Consultant,Jakarta,IDR12.000.000 - 18.000.000,1 – 3 tahun
Senior Frontend Developer (remote),TalentMesh Pte Ltd,Jakarta,IDR10.000.000 - 20.000.000,3 – 5 tahun
Staff produksi,PT Terus Jaya Bersama,"Tanah Abang, Jakarta",IDR3.500.000 - 5.000.000,Kurang dari setahun
Fullstack Developer,Pt Satkomindo Mediyasa,Jakarta,IDR5.750.000 - 10.250.000,Kurang dari setahun
Fullstack Developer,Pt Satkomindo Mediyasa,Jakarta,IDR5.750.000 - 10.250.000,Kurang dari setahun
Live streamer sales and Content creator,Pt Indah Asri Tata Sandang,"Cengkareng, Jakarta",IDR2.000.000 - 10.000.000,1 – 3 tahun
Corporate Secretary,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 20.000.000,3 – 5 tahun
Software Engineer - Non Switch,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 20.000.000,3 – 5 tahun
Graphic Designer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 20.000.000,3 – 5 tahun
Graphic Designer,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 20.000.000,3 – 5 tahun
Marketing Executive,JEMERLANG MENJALIN BERKARYA,Jakarta,IDR3.000.000 - 20.000.000,3 – 5 tahun
AREA MANAGER (AM) ETHICAL AREA JAWA TIMUR,PT Gracia Pharmindo,Surabaya,Company prefers not to disclose,3 – 5 tahun
AREA MANAGER (AM) ETHICAL AREA JAWA TIMUR,PT Gracia Pharmindo,Surabaya,Company prefers not to disclose,3 – 5 tahun
Admin Engineering,Travelio,Jakarta,IDR4.000.000 - 4.500.000,Kurang dari setahun
Field Sales - Surabaya,Pt Innovation Hongtai Technology,Surabaya,IDR3.000.000 - 6.000.000,1 – 3 tahun
Sales Associates,Pt. Kaliber Koma Pasifik,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Solution Architect / Presales (SME),Tech Titan Group,Jakarta,IDR10.000.000 - 20.000.000,3 – 5 tahun
Backend Developer (Ruby on Rails - Remote),Chrome Asia,Jakarta,IDR7.000.000 - 12.000.000,3 – 5 tahun
QA AUTOMATION,PT Digital Aplikasi Negeri,Jakarta,IDR15.000.000 - 20.000.000,1 – 3 tahun
Marketing Supervisor,PT. Sri Indah Labetama,Bandung,IDR4.000.000 - 4.500.000,1 – 3 tahun
Junior IT Consultant,Widatech,Jakarta,IDR4.000.000 - 8.000.000,1 – 3 tahun
Marketing Lending Head,Talenta Sumberdaya Manusia,Bandung,IDR16.000.000 - 20.000.000,5 – 10 tahun
Network Engineer,Sysdata.id,Jakarta,IDR5.000.000 - 7.000.000,1 – 3 tahun
Community Development,Gear Up,Jakarta,IDR7.000.000 - 80.000.100,1 – 3 tahun
Back End Developer,PT Sribu Digital Kreatif,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Management Consulting (Cyber Risk),PT Sribu Digital Kreatif,Jakarta,IDR6.000.000 - 10.000.000,1 – 3 tahun
Cost Accounting,PT. Binabusana Internusa,"Pulo Gadung, Jakarta",IDR6.000.000 - 8.000.000,1 – 3 tahun
Management Consultant (Data Privacy),PT. Binabusana Internusa,"Pulo Gadung, Jakarta",IDR6.000.000 - 8.000.000,1 – 3 tahun
English Teacher - Jakarta Area,EF English First Jakarta ( Swara Group ),Jakarta,IDR4.900.000 - 8.000.000,1 – 3 tahun
Sales Lead IT ICT,Great Fortune Indonesia,"Menteng, Jakarta",IDR40.000.000 - 40.000.100,5 – 10 tahun
Mechatronic Service Engineer,PT. UBC Medical Indonesia,"Cakung, Jakarta",IDR5.000.000 - 7.000.000,Kurang dari setahun
BOOTCAMP DEVELOPER TESTING,Adinata Mitra Solusi,Jakarta,IDR4.500.000 - 7.500.000,Kurang dari setahun
Back End Developer,Bolehdicobadigital,Bandung,IDR5.000.000 - 7.000.000,1 – 3 tahun
MANAGER,Kukumama,Garut,IDR5.000.000 - 8.000.000,1 – 3 tahun
Junior Software Engineer,PT Jessindo Prakarsa,Bogor,IDR4.500.000 - 5.000.000,Kurang dari setahun
PROMOTER STORE (PTC PALEMBANG),PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
Senior Frontend Developer,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
Senior Frontend Developer,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
IT Staff,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
UX Writer,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
UX Writer,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
UX Writer,PT. Wickham International Indonesia,Palembang,IDR3.200.000 - 5.000.000,Kurang dari setahun
Sales Development Project (Medan),"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Medan,IDR5.000.000 - 6.000.000,Kurang dari setahun
Talent Acquisition,"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Medan,IDR5.000.000 - 6.000.000,Kurang dari setahun
Talent Acquisition,"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Medan,IDR5.000.000 - 6.000.000,Kurang dari setahun
Talent Acquisition,"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Medan,IDR5.000.000 - 6.000.000,Kurang dari setahun
Talent Acquisition,"PT. AKASHA WIRA INTERNATIONAL,Tbk.",Medan,IDR5.000.000 - 6.000.000,Kurang dari setahun
Mobile Developer,Pt. Eratani Teknologi Nusantara,"Cilandak, Jakarta",Company prefers not to disclose,1 – 3 tahun
Data Analyst,PT. International Test Center,Jakarta,Company prefers not to disclose,1 – 3 tahun
